Dataset,Configuration,Metric,Seed_13,Seed_42,Seed_87,Seed_123,Seed_2024,Mean,SD,CI95_Lower,CI95_Upper
Hydraulic_Systems,-KG,accuracy,0.3299999999967,0.6599999999934,0.3099999999969,0.3599999999964,0.2599999999974,0.38399999999616,0.15852444606273633,0.18719745790072526,0.5808025420915948
Hydraulic_Systems,-KG,precision,0.3299999999967,0.0,0.3099999999969,0.3599999999964,0.2599999999974,0.25199999999747996,0.14549914088947946,0.07136791762187478,0.43263208237308515
Hydraulic_Systems,-KG,recall,0.9999999999696971,0.0,0.9999999999677419,0.9999999999722223,0.9999999999615384,0.7999999999742399,0.4472135954855576,0.24479999999211743,1.3551999999563624
Hydraulic_Systems,-KG,macro_f1,0.24812030056159193,0.3975903612014806,0.23664122118979078,0.26470588215441176,0.20634920618216174,0.27068139425788734,0.07407421850664093,0.17872084894192788,0.3626419395738468
Hydraulic_Systems,-KG,latency_s,0.001878612999280449,0.0019419410009868443,0.0018806879996554925,0.001808246002474334,0.0017534490028629079,0.0018525874010520058,7.287939154806021e-05,0.0017621101915158148,0.0019430646105881967
Hydraulic_Systems,-coordination,accuracy,0.6699999999933,0.6599999999934,0.6899999999931,0.3599999999964,0.7399999999926,0.62399999999376,0.15076471735636757,0.4368308890397905,0.8111691109477295
Hydraulic_Systems,-coordination,precision,0.0,0.0,0.0,0.3599999999964,0.0,0.07199999999928,0.1609968943783749,-0.12787199999872126,0.2718719999972813
Hydraulic_Systems,-coordination,recall,0.0,0.0,0.0,0.9999999999722223,0.0,0.19999999999444446,0.44721359548753536,-0.35519999999013335,0.7551999999790222
Hydraulic_Systems,-coordination,macro_f1,0.4011976045453763,0.3975903612014806,0.40828402342221903,0.26470588215441176,0.4252873560725327,0.37941304547920407,0.06500134782909252,0.2987161510246267,0.46010993993378146
Hydraulic_Systems,-coordination,latency_s,0.0018381010007578879,0.0018346460006432607,0.001923508000036236,0.002751481000741478,0.002162923000578303,0.002102131800551433,0.00038681950968468004,0.0016219089407413616,0.0025823546603615044
Hydraulic_Systems,-meta-RL,accuracy,0.6699999999933,0.33999999999659997,0.3099999999969,0.6399999999936,0.2599999999974,0.44399999999555995,0.19501282008944798,0.20189842078793122,0.6861015792031887
Hydraulic_Systems,-meta-RL,precision,0.0,0.33999999999659997,0.3099999999969,0.0,0.2599999999974,0.18199999999818,0.1685823241014063,-0.027289045064202433,0.39128904506056245
Hydraulic_Systems,-meta-RL,recall,0.0,0.9999999999705883,0.9999999999677419,0.0,0.9999999999615384,0.5999999999799737,0.5477225574868847,-0.0799783525939407,1.2799783525538881
Hydraulic_Systems,-meta-RL,macro_f1,0.4011976045453763,0.25373134309044326,0.23664122118979078,0.3902439021963117,0.20634920618216174,0.29763265544081674,0.09121744637852579,0.18438939374448876,0.4108759171371447
Hydraulic_Systems,-meta-RL,latency_s,0.001853828999446705,0.0018507270002737642,0.0018504130010842347,0.0018582930011325515,0.0017877729987958446,0.0018402070001466199,2.9482281340075484e-05,0.001803605781479037,0.0018768082188142026
Hydraulic_Systems,A2C,accuracy,0.6699999999933,0.6599999999934,0.6899999999931,0.3599999999964,0.2599999999974,0.52799999999472,0.2024104740352648,0.2767144927669113,0.7792855072225288
Hydraulic_Systems,A2C,precision,0.0,0.0,0.0,0.3599999999964,0.2599999999974,0.12399999999875999,0.17343586710769604,-0.0913145485460905,0.3393145485436105
Hydraulic_Systems,A2C,recall,0.0,0.0,0.0,0.9999999999722223,0.9999999999615384,0.3999999999867522,0.5477225574870258,-0.2799783525873374,1.0799783525608417
Hydraulic_Systems,A2C,macro_f1,0.4011976045453763,0.3975903612014806,0.40828402342221903,0.26470588215441176,0.20634920618216174,0.3356254155011299,0.09375574420099589,0.21923094604811477,0.452019884954145
Hydraulic_Systems,A2C,latency_s,0.002029868997342419,0.0018895789998350666,0.0018521039991173894,0.0019429680006578564,0.0018685539992293343,0.0019166147992364132,7.19781614317504e-05,0.0018272564352934915,0.002005973163179335
Hydraulic_Systems,AIDA-Twin_minus_ADWIN,accuracy,0.6699999999933,0.6599999999934,0.6899999999931,0.6399999999936,0.7399999999926,0.6799999999932,0.038078865528938764,0.632726423441861,0.7272735765445391
Hydraulic_Systems,AIDA-Twin_minus_ADWIN,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,AIDA-Twin_minus_ADWIN,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,AIDA-Twin_minus_ADWIN,macro_f1,0.4011976045453763,0.3975903612014806,0.40828402342221903,0.3902439021963117,0.4252873560725327,0.4045206494875841,0.013307104515939285,0.3880003457633871,0.4210409532117811
Hydraulic_Systems,AIDA-Twin_minus_ADWIN,latency_s,0.000692132999538444,0.0005082960010622628,0.0006455389998154715,0.0004853979995823465,0.0005617100012023002,0.0005786152002401649,8.84379835437402e-05,0.00046882254420833555,0.0006884078562719943
