dataset,config,seed,Macro-F1,Accuracy,ROC-AUC,Latency,PR-AUC
Hydraulic_Systems,-coordination,87,0.9969831616738674,0.9969788519637462,1.0,0.12732880003750324,
Hydraulic_Systems,-coordination,123,1.0,1.0,1.0,0.04060619999654591,
Hydraulic_Systems,-coordination,2024,1.0,1.0,1.0,0.03710190003039315,
Hydraulic_Systems,-meta-RL,13,0.9969696343588366,0.9969788519637462,1.0,0.00596060004318133,
Hydraulic_Systems,-meta-RL,42,0.9969696343588366,0.9969788519637462,0.997175373645962,0.003744899993762374,
Hydraulic_Systems,-meta-RL,87,0.9969831616738674,0.9969788519637462,0.9954545454545455,0.003738400002475828,
Hydraulic_Systems,-meta-RL,123,0.9969834087481146,0.9969788519637462,1.0,0.004725600010715425,
Hydraulic_Systems,-meta-RL,2024,1.0,1.0,1.0,0.005111899983603507,
Hydraulic_Systems,-ADWIN,13,1.0,1.0,1.0,0.034853900026064366,
Hydraulic_Systems,-ADWIN,42,1.0,1.0,1.0,0.024329999985639006,
Hydraulic_Systems,-ADWIN,87,0.9969831616738674,0.9969788519637462,1.0,0.03922809998039156,
Hydraulic_Systems,-ADWIN,123,1.0,1.0,1.0,0.03638659999705851,
Hydraulic_Systems,-ADWIN,2024,1.0,1.0,1.0,0.028990000020712614,
Hydraulic_Systems,Rule-based,13,0.17380645952074525,0.338368580060423,0.5,0.001098700042348355,
Hydraulic_Systems,Rule-based,42,0.1862640353175963,0.34441087613293053,0.5,0.00037810002686455846,
Hydraulic_Systems,Rule-based,87,0.1923415845549948,0.3474320241691843,0.5,0.0002150999498553574,
Hydraulic_Systems,Rule-based,123,0.167420814479638,0.33534743202416917,0.5,0.00041390000842511654,
Hydraulic_Systems,Rule-based,2024,0.17380645952074525,0.338368580060423,0.5,0.00020629999926313758,
Hydraulic_Systems,PPO,13,1.0,1.0,1.0,0.03501069999765605,
Hydraulic_Systems,PPO,42,1.0,1.0,1.0,0.02993889997014776,
Hydraulic_Systems,PPO,87,0.9969831616738674,0.9969788519637462,1.0,0.03100680001080036,
Hydraulic_Systems,PPO,123,1.0,1.0,1.0,0.022319299983792007,
Hydraulic_Systems,PPO,2024,1.0,1.0,1.0,0.03459100000327453,
Hydraulic_Systems,A2C,13,1.0,1.0,1.0,0.008129800029564649,
Hydraulic_Systems,A2C,42,0.9969696343588366,0.9969788519637462,0.9999794323323735,0.0052411999786272645,
Hydraulic_Systems,A2C,87,0.9969831616738674,0.9969788519637462,0.9999862882215824,0.009655800007749349,
Hydraulic_Systems,A2C,123,0.9969834087481146,0.9969788519637462,1.0,0.006688099994789809,
Hydraulic_Systems,A2C,2024,1.0,1.0,1.0,0.009420400019735098,
Hydraulic_Systems,SAC,13,1.0,1.0,1.0,0.007352199987508357,
Hydraulic_Systems,SAC,42,0.9969696343588366,0.9969788519637462,1.0,0.008236799971200526,
Hydraulic_Systems,SAC,87,0.9969831616738674,0.9969788519637462,1.0,0.00677540001925081,
Hydraulic_Systems,SAC,123,1.0,1.0,1.0,0.007187600014731288,
Hydraulic_Systems,SAC,2024,1.0,1.0,1.0,0.009062100027222186,
